Movie_ID,Title,Genre,Release_Year,Duration,Rating,IMDb_Rating,Votes,Director,Country,Language,Budget,Revenue,Date_Added,Age_Rating,Cast,Production_House
NF8012,The One And Only Ivan,Crime,2017,137,6.8,4.3,748427,Jordan Peele,India,Japanese,120709868.0,1277879841.0,2022-11-19,NR,"Oscar Isaac, Margot Robbie",Focus Features
NF5402,The Old Guard,Comedy,2006,104,4.7,7.8,1878416,Denis Villeneuve,South Korea,Korean,13971327.0,842668471.0,2024-10-07,PG-13,"Adam Driver, Robert Downey Jr., Lupita Nyong'o, Angelina Jolie",Marvel Studios
NF2644,His House,Drama,2023,80,8.5,6.0,64025,Ridley Scott,United States,French,110179192.0,529461168.0,2015-08-23,PG,"Ryan Reynolds, Lupita Nyong'o",Apple TV+
NF9839,Hell Or High Water,Animation,2001,73,6.7,8.6,934796,Ryan Coogler,United Kingdom,Korean,213495366.0,1570429896.0,2015-08-25,TV-14,"Natalie Portman, Michael B. Jordan",Warner Bros.
NF1815,Extraction,Fantasy,1993,187,5.5,9.7,1928520,James Gunn,India,English,,1959494164.0,2023-03-06,TV-PG,"Brad Pitt, Al Pacino",Paramount Pictures
NF8549,Army Of The Dead,Adventure,1993,105,4.4,6.2,8155,Paul Thomas Anderson,Germany,German,104357933.0,1136835001.0,2018-08-27,TV-PG,"Julia Roberts, Pedro Pascal, Ryan Reynolds, Denzel Washington",
NF5918,Bad Boys For Life,Fantasy,1999,141,4.4,3.5,628868,,India,Korean,233905940.0,,2023-10-20,TV-MA,"Angelina Jolie, Robert Downey Jr.",A24
NF8146,The Little Things,Fantasy,2004,76,7.6,5.3,675237,Wes Anderson,United States,Italian,122520671.0,950771444.0,2018-12-05,G,,Walt Disney Pictures
NF2666,The Addams Family 2,Comedy,2002,156,6.2,5.9,1604037,Zack Snyder,Japan,Korean,109067001.0,1098354305.0,2019-03-25,PG,,Universal Pictures
NF4882,Black Widow,Fantasy,2017,112,8.5,6.9,1251801,Taika Waititi,India,Hindi,138587221.0,1458884168.0,2016-03-25,G,"Al Pacino, Chris Evans, Morgan Freeman",Amazon Studios
NF4681,Joker,Crime,2000,131,8.3,3.2,178027,Denis Villeneuve,United States,Hindi,175027836.0,1969580381.0,2020-05-27,TV-MA,"Pedro Pascal, Oscar Isaac, Michael B. Jordan",New Line Cinema
NF5034,Sound Of Metal,Crime,1995,147,4.3,6.7,1710805,Denis Villeneuve,Japan,French,,1365933010.0,2019-06-10,NC-17,,Amazon Studios
NF1182,Home Sweet Home Alone,Romance,2007,110,7.1,9.0,194316,Coen Brothers,South Korea,Japanese,85852738.0,1281507145.0,2017-08-07,G,"Michael B. Jordan, Julia Roberts",Blumhouse Productions
NF4037,Get Out,Adventure,1999,137,6.3,6.2,1207261,Taika Waititi,India,French,2641066.0,1632721895.0,2024-08-05,PG-13,"Pedro Pascal, Meryl Streep",HBO Films
NF8950,Malignant,Sci-Fi,1993,93,6.8,9.3,1705483,David Fincher,United States,Korean,50931697.0,1418316960.0,2022-03-04,PG,"Cate Blanchett, Meryl Streep, Margot Robbie",Marvel Studios
NF4420,The Humans,Documentary,2021,161,6.8,6.1,314085,Billy Wilder,Japan,French,166065996.0,526906149.0,2020-02-15,TV-14,"Florence Pugh, Dwayne Johnson, Al Pacino",Marvel Studios
NF1611,Bridgerton,Adventure,2024,137,7.1,6.9,850893,David Lynch,United States,English,80160467.0,1613779308.0,2017-08-15,PG,"Al Pacino, Scarlett Johansson, Angelina Jolie, Michael B. Jordan",Lionsgate
NF8656,Project Power,Comedy,2003,112,4.1,3.6,232499,Peter Jackson,Italy,Japanese,2394972.0,205937781.0,2020-04-17,NC-17,"Florence Pugh, Adam Driver",Warner Bros.
NF7269,The Invisible Man,Animation,2012,170,8.0,7.5,1298280,Stanley Kubrick,India,Italian,226511726.0,1585537183.0,2018-05-28,NC-17,,Blumhouse Productions
NF8436,Phantom Thread,Romance,2000,121,4.6,3.5,1024666,Alfonso Cuaron,United Kingdom,English,201917237.0,1772133430.0,2023-11-11,TV-PG,"Viola Davis, Michael B. Jordan, Robert De Niro, Sandra Bullock",Paramount Pictures
NF4883,Soul,Comedy,2022,186,8.5,9.2,1149936,J.J. Abrams,Italy,Korean,234165817.0,1821904345.0,2018-03-24,G,"Tom Hanks, Denzel Washington, Natalie Portman, Leonardo DiCaprio",Blumhouse Productions
NF2037,Whiplash,Fantasy,2004,156,7.4,7.9,1392002,Spike Lee,United States,Spanish,233881982.0,1613783642.0,2022-08-06,NC-17,"Scarlett Johansson, Michael B. Jordan",Amazon Studios
NF7879,Time,Animation,1990,115,8.7,6.2,727358,Jane Campion,United States,Hindi,8433675.0,1112485630.0,2023-03-07,PG,"Tom Hanks, Natalie Portman",Paramount Pictures
NF4925,Bird Box,Sci-Fi,2007,161,4.0,5.7,1940043,,United Kingdom,German,184696354.0,1020583001.0,2023-07-22,TV-MA,"Lupita Nyong'o, Meryl Streep",A24
NF2966,No Country For Old Men,Documentary,2010,190,4.8,6.2,1786746,Paul Thomas Anderson,Italy,Italian,218725862.0,531084922.0,2021-07-14,TV-PG,"Oscar Isaac, Natalie Portman, Charlize Theron, Leonardo DiCaprio",Universal Pictures
NF6370,Summer Of Soul,Romance,2009,136,9.2,6.8,198753,Chloé Zhao,France,French,,477460140.0,2017-04-27,PG,"Robert Downey Jr., Cate Blanchett, Tom Hanks, Sandra Bullock",Legendary Pictures
NF5211,Hubie Halloween,Horror,2009,144,5.9,3.4,63157,Martin Scorsese,United Kingdom,German,203653565.0,1210114007.0,2019-06-07,NR,"Will Smith, Al Pacino",HBO Films
NF4893,Project Power,Action,1998,75,8.4,6.8,1024666,Francis Ford Coppola,India,Italian,165694827.0,,2023-07-01,NC-17,"Natalie Portman, Chris Evans, Jodie Foster, Ryan Reynolds",New Line Cinema
NF6644,Fight Club,Documentary,2001,175,8.8,8.4,1518236,J.J. Abrams,United Kingdom,German,187654969.0,,2021-03-12,NC-17,"Angelina Jolie, Lupita Nyong'o, Margot Robbie, Charlize Theron",Paramount Pictures
NF6554,Halloween Kills,Romance,2023,104,4.0,8.5,1420360,Denis Villeneuve,Japan,French,192500210.0,1097998651.0,2021-10-15,NC-17,"Zendaya, Julia Roberts, Will Smith",Warner Bros.
NF5603,Black Widow,Horror,2006,150,8.1,9.5,1935462,Greta Gerwig,France,English,126731110.0,1516143705.0,2022-07-04,TV-PG,"Adam Driver, Viola Davis",Pixar Animation Studios
NF4872,A Boy Called Christmas,Documentary,1996,160,6.8,6.2,1080697,Bong Joon-ho,United Kingdom,German,56393430.0,815155064.0,2015-08-23,G,"Margot Robbie, Florence Pugh",Pixar Animation Studios
NF1564,Judas And The Black Messiah,Drama,2006,137,4.1,4.9,298601,Zack Snyder,Japan,Hindi,84221933.0,439779428.0,2018-02-20,TV-PG,"Robert De Niro, Lupita Nyong'o",Amazon Studios
NF5967,Titane,Animation,2007,196,5.1,8.6,1824446,Francis Ford Coppola,Italy,Spanish,152355829.0,1294973686.0,2024-03-03,PG,"Robert Downey Jr., Scarlett Johansson",Apple TV+
NF5959,A Castle For Christmas,Thriller,1998,176,4.0,6.5,778,Martin Scorsese,South Korea,Italian,3603574.0,,2015-02-06,TV-MA,"Angelina Jolie, Brad Pitt, Lupita Nyong'o",Marvel Studios
NF7944,Coming 2 America,Action,2012,150,9.4,6.2,77165,Steven Spielberg,Italy,Hindi,83491684.0,1702983481.0,2020-10-09,TV-14,"Jodie Foster, Angelina Jolie",Amazon Studios
NF8764,The Trial Of The Chicago 7,Sci-Fi,2013,77,8.6,4.2,1109674,Darren Aronofsky,United Kingdom,Hindi,98041023.0,1015024287.0,2017-10-13,TV-14,"Julia Roberts, Ana de Armas",Paramount Pictures
NF8239,Welcome To Chechnya,Thriller,2003,82,6.8,4.0,1024666,J.J. Abrams,India,Korean,,382885517.0,2017-11-10,NR,"Ana de Armas, Lupita Nyong'o",Paramount Pictures
NF2999,Parasite,Fantasy,2004,148,7.2,9.5,451098,Quentin Tarantino,South Korea,German,106221478.0,1734898261.0,2023-05-28,NR,"Zendaya, Charlize Theron, Michael B. Jordan",Columbia Pictures
NF3832,Free Guy,Drama,1994,102,8.6,6.2,194304,Quentin Tarantino,United States,German,43490153.0,1187112991.0,2022-06-01,TV-PG,"Brad Pitt, Ana de Armas, Julia Roberts",Blumhouse Productions
NF6413,Soul,Thriller,2021,179,8.8,9.8,862600,Akira Kurosawa,India,German,233548251.0,,2021-04-11,R,"Brad Pitt, Tom Hanks",Columbia Pictures
NF1852,Thunder Force,Action,2020,137,6.0,7.9,840313,Tim Burton,India,English,118335662.0,,2023-05-07,NR,"Scarlett Johansson, Jodie Foster, Meryl Streep, Lupita Nyong'o",Warner Bros.
NF4430,The Wrong Missy,Comedy,1995,103,6.2,5.6,1024666,Bong Joon-ho,United States,German,168724990.0,486001904.0,2020-05-05,NR,"Dwayne Johnson, Jodie Foster, Cate Blanchett, Meryl Streep",HBO Films
NF4060,The Green Mile,Documentary,2020,87,7.2,6.2,1024666,Bong Joon-ho,France,Japanese,137454703.0,242234320.0,2023-11-09,G,"Al Pacino, Natalie Portman, Chris Evans",Netflix Originals
NF6004,The Godfather,Drama,2001,137,8.7,5.3,643476,James Cameron,United Kingdom,Japanese,201346911.0,1376028214.0,2021-12-20,G,"Al Pacino, Jodie Foster, Robert Downey Jr., Robert De Niro",Columbia Pictures
NF8220,Ascension,Adventure,1994,116,8.4,7.7,1590264,Taika Waititi,India,Spanish,168863001.0,1231474470.0,2016-03-04,PG,"Robert De Niro, Ana de Armas",Universal Pictures
NF4014,Collective,Crime,2016,172,4.2,6.2,1024666,David Lynch,United States,Japanese,226567976.0,647762010.0,2015-11-19,TV-PG,"Adam Driver, Will Smith",Warner Bros.
NF7473,Outer Banks,Comedy,1993,137,6.1,6.2,1024666,James Cameron,United Kingdom,French,111975381.0,,2024-08-07,NC-17,,Pixar Animation Studios
NF4112,Army Of The Dead,Sci-Fi,2000,194,6.8,3.5,999812,Sam Raimi,Germany,Italian,3980960.0,1356254404.0,2017-06-21,TV-14,"Robert De Niro, Al Pacino, Ryan Reynolds, Charlize Theron",Columbia Pictures
NF7433,Rebecca,Thriller,1990,122,4.0,9.4,898537,Steven Spielberg,India,French,168771717.0,201523768.0,2018-11-11,PG-13,"Viola Davis, Chris Evans, Lupita Nyong'o, Charlize Theron",Blumhouse Productions
NF2672,A Quiet Place Part Ii,Fantasy,2019,117,6.9,3.8,743386,Paul Thomas Anderson,Japan,Japanese,,210151179.0,2015-11-13,TV-14,"Ryan Reynolds, Sandra Bullock",Focus Features
NF7271,Old,Horror,1994,195,6.2,3.7,904504,Park Chan-wook,United Kingdom,Hindi,,,2019-08-01,PG-13,"Leonardo DiCaprio, Meryl Streep, Michael B. Jordan, Margot Robbie",A24
NF8277,Titane,Animation,2021,137,7.1,6.2,1267206,Tim Burton,Germany,Italian,15069391.0,1813257896.0,2022-06-18,TV-PG,"Lupita Nyong'o, Adam Driver, Robert De Niro, Angelina Jolie",
NF7033,Red Notice,Documentary,2024,121,4.4,4.8,127045,Guillermo del Toro,South Korea,Japanese,168434618.0,1601147047.0,2020-07-07,R,"Morgan Freeman, Chris Evans, Dwayne Johnson, Lupita Nyong'o",A24
NF4760,Knives Out,Comedy,2004,154,4.1,8.9,1552634,Ridley Scott,Japan,Italian,138526447.0,1809484178.0,2021-06-06,NC-17,"Lupita Nyong'o, Robert Downey Jr., Florence Pugh, Denzel Washington",Netflix Originals
NF2549,Work It,Drama,2019,137,5.1,6.2,734117,Wong Kar-wai,France,Italian,87096019.0,1564602677.0,2017-01-20,PG-13,"Margot Robbie, Pedro Pascal, Chris Evans, Lupita Nyong'o",Lionsgate
NF8903,Fear Street Part Two 1978,Crime,1991,142,5.3,3.9,1781983,Peter Jackson,Germany,German,48448595.0,1646950737.0,2021-09-14,R,"Margot Robbie, Natalie Portman, Lupita Nyong'o",A24
NF6035,Kate,Drama,2019,119,4.5,3.8,329058,David Fincher,Germany,Japanese,63460706.0,1551647879.0,2022-03-04,R,"Robert De Niro, Timothée Chalamet",Walt Disney Pictures
NF7864,Tom And Jerry,Animation,2000,173,7.8,6.2,1245597,Denis Villeneuve,Germany,Japanese,,1541633366.0,2019-11-02,TV-MA,"Ana de Armas, Chris Evans",Walt Disney Pictures
NF3843,The Prestige,Fantasy,2024,90,4.4,6.2,1408574,Greta Gerwig,South Korea,Japanese,225756482.0,1496960801.0,2015-02-15,R,"Leonardo DiCaprio, Scarlett Johansson, Tom Hanks",Blumhouse Productions
NF1251,Room,Romance,2007,200,4.9,6.2,290363,Stanley Kubrick,Germany,German,25170593.0,1222157638.0,2018-12-03,TV-PG,"Oscar Isaac, Angelina Jolie",
NF5276,Parasite,Sci-Fi,2010,151,9.2,6.2,228632,Denis Villeneuve,Italy,Italian,144361151.0,1654385572.0,2018-10-08,PG,"Jodie Foster, Dwayne Johnson",Focus Features
NF7025,Hell Or High Water,Fantasy,2017,134,5.1,8.7,1182939,David Lynch,Italy,German,230762979.0,1012389071.0,2018-11-09,TV-14,"Tom Hanks, Cate Blanchett, Angelina Jolie, Al Pacino",Universal Pictures
NF7175,Time,Comedy,2004,73,8.0,8.6,1843179,Coen Brothers,Japan,German,26249400.0,630696461.0,2023-08-09,TV-PG,"Brad Pitt, Natalie Portman, Angelina Jolie, Al Pacino",A24
NF5494,Cherry,Action,2000,121,9.2,6.2,1024666,,Germany,German,,,2023-07-08,TV-14,,DreamWorks Animation
NF4061,The Suicide Squad,Horror,2017,120,4.6,7.2,1792896,Zack Snyder,France,German,10798910.0,412797802.0,2017-07-01,PG,"Michael B. Jordan, Zendaya",Amazon Studios
NF4516,The White Tiger,Romance,2021,74,6.5,6.2,1961291,David Lynch,South Korea,Japanese,35486161.0,58172576.0,2019-02-24,G,"Pedro Pascal, Denzel Washington",Blumhouse Productions
NF8724,Tom And Jerry,Action,2016,148,4.3,6.1,1685751,Bong Joon-ho,United States,Korean,4327256.0,1597020235.0,2016-09-04,TV-14,,Apple TV+
NF6774,Collective,Drama,2009,177,6.8,6.2,326605,James Gunn,United Kingdom,Japanese,26239797.0,1403533017.0,2017-01-26,R,"Denzel Washington, Lupita Nyong'o, Michael B. Jordan, Florence Pugh",New Line Cinema
NF1014,Free Guy,Comedy,2002,137,5.7,4.3,1142079,James Gunn,United Kingdom,German,123763398.0,54504081.0,2021-04-20,TV-MA,"Cate Blanchett, Chris Evans, Zendaya, Denzel Washington",Lionsgate
NF5159,Candyman,Horror,1997,137,8.4,6.2,1024666,Stanley Kubrick,Japan,English,204397203.0,1840125284.0,2017-03-12,TV-14,"Morgan Freeman, Charlize Theron",New Line Cinema
NF6501,Cast Away,Romance,2022,129,9.3,3.9,1819576,Alfred Hitchcock,Germany,Korean,91666862.0,137679925.0,2020-02-16,NC-17,"Zendaya, Tom Hanks, Florence Pugh",New Line Cinema
NF8848,In The Heights,Comedy,2021,116,6.8,4.2,1274795,Bong Joon-ho,United Kingdom,German,108546424.0,,2023-03-24,G,"Angelina Jolie, Michael B. Jordan, Tom Hanks, Robert De Niro",Universal Pictures
NF4165,The Trial Of The Chicago 7,Sci-Fi,2015,137,5.2,6.2,1109965,Peter Jackson,Italy,German,97888547.0,1556251120.0,2021-02-20,PG,"Al Pacino, Tom Hanks, Zendaya, Will Smith",DreamWorks Animation
NF5099,The Dark Knight,Sci-Fi,1990,187,7.8,7.5,1689416,Alfred Hitchcock,Germany,Japanese,85767652.0,1758246353.0,2022-04-20,TV-14,"Leonardo DiCaprio, Charlize Theron, Margot Robbie",Pixar Animation Studios
NF6956,Malcolm & Marie,Adventure,1992,145,7.2,6.6,738543,Sam Raimi,Germany,French,50985637.0,1838528909.0,2018-03-20,TV-MA,"Al Pacino, Florence Pugh, Cate Blanchett",Apple TV+
NF9027,Birds Of Prey,Horror,1999,195,8.3,3.8,1157328,Sofia Coppola,United Kingdom,French,88953723.0,287833619.0,2018-10-12,TV-PG,"Angelina Jolie, Charlize Theron, Lupita Nyong'o, Robert Downey Jr.",Universal Pictures
NF8338,Call Me By Your Name,Drama,1999,131,8.4,6.2,1931838,Jane Campion,United Kingdom,Korean,173157284.0,687974277.0,2017-08-25,TV-14,"Florence Pugh, Michael B. Jordan, Brad Pitt",Lionsgate
NF4847,Promising Young Woman,Crime,1992,71,5.7,5.5,1173583,Steven Spielberg,India,Spanish,236158614.0,192617577.0,2020-12-17,NC-17,"Natalie Portman, Meryl Streep",Lionsgate
NF1647,Blackkklansman,Adventure,2024,137,4.3,6.6,1521541,J.J. Abrams,South Korea,Hindi,229102087.0,1884143115.0,2017-02-03,TV-PG,"Natalie Portman, Florence Pugh, Chris Evans, Oscar Isaac",Netflix Originals
NF3508,Hubie Halloween,Thriller,2011,137,8.6,5.0,1147500,Wes Anderson,United Kingdom,English,86843944.0,308234859.0,2016-11-08,G,"Denzel Washington, Michael B. Jordan, Robert De Niro, Scarlett Johansson",Universal Pictures
NF5279,The Midnight Sky,Comedy,2021,137,6.7,8.9,1645020,Ridley Scott,India,Spanish,50197007.0,,2024-04-16,TV-MA,"Ana de Armas, Cate Blanchett, Ryan Reynolds, Morgan Freeman",A24
NF4002,Venom Let There Be Carnage,Documentary,2014,159,9.2,4.9,1943316,Tim Burton,Japan,Italian,79272870.0,1782230829.0,2016-11-06,R,"Leonardo DiCaprio, Meryl Streep, Zendaya",Walt Disney Pictures
NF2251,The Hand Of God,Comedy,1999,169,9.4,3.8,1524116,Francis Ford Coppola,South Korea,Spanish,95152692.0,910272445.0,2022-12-14,TV-MA,"Chris Evans, Michael B. Jordan",Lionsgate
NF4600,Judas And The Black Messiah,Action,2014,141,6.6,4.4,930087,Bong Joon-ho,Japan,Japanese,57847593.0,1379303208.0,2016-06-03,NR,"Ana de Armas, Morgan Freeman",Columbia Pictures
NF4243,Onward,Adventure,1992,174,9.3,7.2,1590576,Wes Anderson,United Kingdom,Japanese,,1761785761.0,2015-01-19,TV-14,"Al Pacino, Leonardo DiCaprio",Marvel Studios
NF7444,The Lord Of The Rings: The Return Of The King,Crime,2014,114,4.9,7.8,248345,J.J. Abrams,India,Spanish,25535743.0,,2015-11-25,G,"Brad Pitt, Michael B. Jordan, Tom Hanks, Al Pacino",Blumhouse Productions
NF3847,Birds Of Prey,Action,2021,171,6.7,3.4,920786,Peter Jackson,Japan,Hindi,103043423.0,318872181.0,2018-08-10,TV-PG,"Margot Robbie, Chris Evans, Scarlett Johansson",A24
NF7891,Thunder Force,Drama,1991,102,6.4,7.4,1407486,Steven Spielberg,Italy,German,126941489.0,,2019-10-19,TV-14,"Morgan Freeman, Viola Davis",Paramount Pictures
NF9158,Jungle Cruise,Action,1997,137,4.5,3.5,777937,Greta Gerwig,Italy,English,195091589.0,1221591610.0,2015-03-11,NC-17,"Viola Davis, Ana de Armas",Universal Pictures
NF7503,Hell Or High Water,Sci-Fi,2007,137,7.1,4.8,705296,Sam Raimi,Germany,German,134823406.0,769235519.0,2022-02-20,NC-17,"Timothée Chalamet, Pedro Pascal, Brad Pitt, Robert Downey Jr.",DreamWorks Animation
NF1443,Greyhound,Drama,1996,127,4.2,6.6,1477276,Alfonso Cuaron,United Kingdom,Spanish,46911352.0,799206997.0,2019-09-22,PG,"Lupita Nyong'o, Morgan Freeman, Florence Pugh, Zendaya",Marvel Studios
NF3304,The Unforgivable,Romance,1995,155,5.4,6.2,226664,Christopher Nolan,Italy,Japanese,132860688.0,754363195.0,2023-07-04,R,"Adam Driver, Cate Blanchett",Universal Pictures
NF7183,Forrest Gump,Romance,1991,137,6.8,7.6,1850387,Ridley Scott,France,Spanish,29406157.0,693049104.0,2023-11-07,NR,"Florence Pugh, Robert De Niro, Scarlett Johansson",Blumhouse Productions
NF3881,A Star Is Born,Documentary,1997,89,8.2,5.7,622365,Sam Raimi,India,German,93045551.0,1139449272.0,2015-11-22,PG-13,"Denzel Washington, Cate Blanchett",Universal Pictures
NF5584,Sound Of Metal,Animation,2015,137,8.9,8.2,272790,Sam Raimi,United States,French,222229304.0,825749869.0,2015-03-19,PG,"Tom Hanks, Timothée Chalamet, Robert Downey Jr.",Netflix Originals
NF4210,Get Out,Animation,2002,74,6.8,4.1,715835,Jordan Peele,United States,English,76882039.0,1103189124.0,2020-11-15,NR,"Jodie Foster, Cate Blanchett, Scarlett Johansson, Ana de Armas",Walt Disney Pictures
NF4803,Ron'S Gone Wrong,Adventure,2007,167,6.3,4.4,1024666,Alfonso Cuaron,United Kingdom,German,146525076.0,1217015834.0,2018-04-27,PG,"Robert De Niro, Robert Downey Jr.",Marvel Studios
NF2298,The Power Of The Dog,Fantasy,2006,123,5.4,6.2,1797374,Rian Johnson,United States,Hindi,85754287.0,260989895.0,2015-07-08,PG,"Morgan Freeman, Leonardo DiCaprio",A24
NF4491,The Starling,Comedy,2005,137,4.6,9.3,1927527,Zack Snyder,France,French,157656998.0,551094515.0,2020-05-22,NC-17,"Adam Driver, Morgan Freeman, Viola Davis, Ryan Reynolds",Columbia Pictures
NF9254,Room,Documentary,2009,105,6.6,8.9,1588625,Ridley Scott,Italy,Japanese,26885490.0,1028135290.0,2021-03-22,R,,Marvel Studios
NF9623,A Beautiful Mind,Drama,1997,70,8.5,4.2,1988945,Wong Kar-wai,India,French,161597961.0,1342262880.0,2015-10-24,NC-17,"Scarlett Johansson, Adam Driver, Zendaya, Florence Pugh",DC Films
NF8015,Phantom Thread,Crime,2002,138,6.8,9.5,1573706,Chloé Zhao,Italy,German,148178817.0,774317678.0,2017-10-16,TV-MA,"Brad Pitt, Charlize Theron, Julia Roberts",Marvel Studios
NF3742,Minari,Documentary,2003,124,4.6,7.8,1625826,Paul Thomas Anderson,United Kingdom,English,10670030.0,,2015-03-26,PG,"Scarlett Johansson, Robert Downey Jr., Zendaya, Michael B. Jordan",Marvel Studios
NF9724,Pulp Fiction,Documentary,2011,137,8.2,8.6,896735,Quentin Tarantino,Japan,Hindi,193564200.0,1114456884.0,2019-03-13,R,"Leonardo DiCaprio, Margot Robbie",Apple TV+
NF9979,Free Guy,Sci-Fi,2011,132,8.5,8.1,480076,Bong Joon-ho,France,Spanish,46206114.0,1323232845.0,2016-06-01,TV-PG,"Will Smith, Oscar Isaac, Chris Evans",A24
NF3562,Cast Away,Comedy,2007,137,7.2,4.3,755074,Chloé Zhao,Germany,Korean,243351947.0,359210888.0,2017-06-03,NC-17,"Natalie Portman, Julia Roberts, Margot Robbie",Legendary Pictures
NF5490,Bridgerton,Thriller,1996,198,5.1,6.9,337811,Coen Brothers,Germany,Spanish,211350811.0,,2022-12-27,PG-13,"Leonardo DiCaprio, Ryan Reynolds, Margot Robbie, Robert Downey Jr.",Blumhouse Productions
NF5907,Nomadland,Animation,1994,124,6.8,5.7,1558049,James Cameron,United Kingdom,Hindi,143056314.0,450511422.0,2020-02-21,NR,"Florence Pugh, Natalie Portman, Sandra Bullock",Apple TV+
NF9252,Parasite,Horror,2016,176,5.8,5.2,531430,Zack Snyder,United States,Japanese,,1440398190.0,2015-11-17,NC-17,"Viola Davis, Pedro Pascal, Julia Roberts, Margot Robbie",20th Century Studios
NF3830,A Quiet Place Part Ii,Documentary,2024,74,7.3,6.2,1156402,Sofia Coppola,United Kingdom,German,8979753.0,1916214300.0,2022-11-26,PG,"Will Smith, Lupita Nyong'o, Sandra Bullock, Angelina Jolie",Amazon Studios
NF4934,Another Round,Sci-Fi,1992,137,9.2,6.2,44673,Sofia Coppola,Japan,Japanese,200150788.0,,2016-02-24,G,"Sandra Bullock, Denzel Washington",Netflix Originals
NF9856,The Prestige,Thriller,2019,86,9.2,7.8,1878420,Jane Campion,United Kingdom,Japanese,45341647.0,,2023-09-04,NC-17,"Cate Blanchett, Al Pacino",Legendary Pictures
NF2601,The Conjuring The Devil Made Me Do It,Comedy,2006,100,5.3,7.5,633338,,United States,French,159656192.0,954846170.0,2016-05-24,TV-PG,"Chris Evans, Ryan Reynolds, Robert De Niro, Viola Davis",New Line Cinema
NF9476,Get Out,Documentary,1998,180,8.6,5.1,1960387,Wong Kar-wai,India,French,148365367.0,1342325296.0,2019-10-18,PG-13,"Morgan Freeman, Jodie Foster, Charlize Theron, Meryl Streep",Warner Bros.
NF7079,Mank,Animation,1998,124,9.3,6.1,337189,Steven Spielberg,Italy,German,31882543.0,685330106.0,2020-12-17,NR,"Ana de Armas, Scarlett Johansson",Pixar Animation Studios
NF6854,Mank,Comedy,1993,90,8.7,9.2,1673517,Zack Snyder,South Korea,English,224577444.0,1642892719.0,2022-12-07,TV-PG,"Denzel Washington, Viola Davis, Lupita Nyong'o, Tom Hanks",Paramount Pictures
NF7374,My Hero Academia World Heroes Mission,Horror,2002,187,8.9,6.2,1926515,Steven Spielberg,Germany,Hindi,12580373.0,1889884551.0,2021-02-16,TV-MA,"Adam Driver, Tom Hanks",Lionsgate
